416,6,520,6,520,20,416,20,416,20,416,20,416,20,416,20
10,9,30,10,58,10,84,10,107,10,136,10,155,10,155,22
408,22,521,22,521,36,408,36,408,36,408,36,408,36,408,36
9,25,161,25,161,41,9,41,9,41,9,41,9,41,9,41
377,37,524,37,524,52,377,52,377,52,377,52,377,52,377,52
7,46,157,44,157,58,8,60,8,60,8,60,8,60,8,60
208,50,326,50,326,70,208,70,208,70,208,70,208,70,208,70
9,82,23,82,48,81,79,81,100,79,130,81,153,81,153,94
289,78,336,78,336,93,289,93,289,93,289,93,289,93,289,93
381,81,390,81,403,81,416,81,429,81,443,81,457,81,457,93
10,102,21,102,41,102,65,102,84,102,105,103,125,104,125,118
9,125,226,125,226,140,9,140,9,140,9,140,9,140,9,140
76,145,99,145,155,144,253,147,373,144,448,146,471,146,471,159
72,160,98,160,158,162,255,162,349,161,438,162,465,162,465,176
6,175,19,176,35,177,49,177,60,176,78,177,89,177,89,189
10,206,106,208,106,225,10,223,10,223,10,223,10,223,10,223
41,229,67,228,116,228,175,227,243,228,312,228,338,229,338,243
454,227,461,227,467,227,477,227,485,227,495,228,502,228,500,241
43,249,66,248,96,248,136,246,177,246,208,246,231,246,231,258
23,263,46,263,134,262,183,263,255,262,332,262,355,261,355,275
456,262,498,262,498,276,456,276,456,276,456,276,456,276,456,276
41,281,53,281,76,281,91,281,106,280,128,279,140,279,140,291
15,296,38,297,61,298,95,297,126,297,165,297,188,296,188,309
453,297,459,297,467,297,476,297,483,297,493,297,499,298,497,310
42,315,54,315,76,315,99,316,118,315,138,315,150,314,150,327
19,331,38,332,72,334,116,333,157,331,200,332,220,331,219,342
453,331,459,331,467,331,476,331,482,332,493,332,499,333,497,345
41,349,54,349,80,349,103,351,122,349,143,349,155,347,155,359
12,366,38,366,90,366,126,366,165,366,206,366,233,366,232,380
456,366,500,366,500,380,456,380,456,380,456,380,456,380,456,380
41,384,54,384,74,384,90,384,113,384,133,384,144,383,143,395
21,401,41,401,134,401,192,402,232,401,300,403,319,402,319,414
454,401,461,401,468,401,477,401,485,401,495,401,502,402,500,414
42,419,54,419,75,419,90,419,106,419,122,419,139,418,140,429
18,437,38,436,71,437,107,436,148,436,191,436,210,435,210,447
454,435,460,435,468,435,477,435,485,435,495,436,502,436,500,449
45,452,54,453,74,453,91,454,108,453,128,453,140,452,139,464
6,597,58,597,58,610,6,610,6,610,6,610,6,610,6,610
349,597,505,597,505,612,349,612,349,612,349,612,349,612,349,612
10,619,18,619,31,620,47,620,62,621,77,620,87,620,88,631
367,620,491,620,491,633,367,633,367,633,367,633,367,633,367,633
346,725,369,728,383,729,406,731,429,728,456,730,476,728,476,742
6,746,29,746,59,746,107,747,136,747,164,747,187,746,186,759
