424,10,529,10,529,24,424,24,424,24,424,24,424,24,424,24
20,13,39,14,66,14,93,14,117,14,154,14,174,14,174,26
417,26,530,26,530,39,417,39,417,39,417,39,417,39,417,39
17,29,170,29,170,45,17,45,17,45,17,45,17,45,17,45
386,41,532,41,532,56,386,56,386,56,386,56,386,56,386,56
15,50,33,50,67,50,95,49,125,50,140,50,163,52,163,65
217,54,336,54,336,74,217,74,217,74,217,74,217,74,217,74
18,83,145,82,145,97,18,98,18,98,18,98,18,98,18,98
297,82,345,82,345,97,297,97,297,97,297,97,297,97,297,97
390,85,399,85,415,85,436,85,449,85,460,85,475,85,474,97
19,106,30,106,50,106,73,106,93,106,114,106,134,107,134,121
188,129,211,129,275,128,303,129,352,129,404,127,427,127,427,140
18,129,57,129,57,142,18,142,18,142,18,142,18,142,18,142
42,148,69,148,183,150,251,151,344,150,440,150,466,149,466,164
20,184,116,185,115,202,19,201,19,201,19,201,19,201,19,201
37,209,64,207,90,204,138,205,201,205,254,204,280,204,280,218
465,205,509,205,509,218,465,218,465,218,465,218,465,218,465,218
52,227,75,226,106,225,144,225,193,223,217,224,240,224,240,237
33,241,55,241,127,241,192,241,260,241,345,240,368,240,368,252
464,241,470,241,477,240,486,241,493,241,503,241,510,242,508,254
41,258,56,257,65,258,84,256,100,255,119,258,128,260,127,273
52,274,64,275,84,275,99,275,115,275,137,275,149,274,149,287
28,291,48,292,78,293,124,294,158,293,200,292,220,290,219,302
464,291,470,291,477,291,486,291,493,291,504,292,510,293,508,305
52,310,62,309,82,310,99,309,121,310,141,309,154,308,154,320
355,602,372,602,401,600,435,602,463,600,491,600,513,599,513,613
16,601,66,601,66,614,16,614,16,614,16,614,16,614,16,614
18,623,27,623,40,623,55,622,72,623,85,624,97,624,97,637
376,624,501,624,501,637,376,637,376,637,376,637,376,637,376,637
352,730,370,733,391,733,413,735,437,732,467,735,484,734,484,748
18,750,38,750,69,750,110,751,144,751,175,751,198,750,197,763
