420,8,525,8,525,21,420,21
13,10,168,10,168,24,13,24
411,23,525,23,525,37,411,37
13,26,165,26,165,42,13,42
381,37,528,37,528,52,381,52
12,46,161,46,161,61,12,61
211,51,330,51,330,71,211,71
293,80,341,80,341,94,293,94
386,81,461,81,461,94,386,94
14,82,139,82,139,96,14,96
14,103,125,103,125,118,14,118
13,126,50,126,50,138,13,138
14,145,458,145,458,162,14,162
14,181,110,183,110,200,14,198
13,202,246,202,246,218,13,218
460,202,489,202,489,216,460,216
49,218,427,218,427,235,49,235
13,234,205,237,205,253,13,250
460,238,502,238,502,250,460,250
49,254,258,254,258,270,49,270
12,272,234,272,234,288,12,288
460,273,504,273,504,285,460,285
49,289,259,289,259,305,49,305
13,303,216,307,215,322,13,319
460,306,504,306,504,320,460,320
49,324,258,321,258,338,49,340
353,598,509,596,509,612,353,614
10,598,62,598,62,612,10,612
13,618,85,621,85,635,12,632
372,621,496,621,496,634,372,634
363,731,443,728,444,745,364,747
12,747,198,747,198,763,12,763
