420,12,525,12,525,25,420,25
13,14,169,14,169,28,13,28
413,27,526,27,526,41,413,41
14,30,166,30,166,46,14,46
382,42,530,44,530,58,382,56
13,50,162,50,162,65,13,65
213,56,332,56,332,76,213,76
14,84,158,84,158,100,14,100
294,84,461,84,461,98,294,98
14,107,129,107,129,122,14,122
124,129,389,129,389,145,124,145
14,130,54,130,54,142,14,142
14,149,537,149,537,165,14,165
14,163,234,166,234,183,14,180
16,196,112,198,111,216,15,214
14,216,273,218,273,234,14,231
461,218,505,218,505,232,461,232
49,235,298,233,298,249,49,252
14,250,230,253,230,269,14,266
461,253,505,253,505,266,461,266
49,270,238,270,238,286,49,286
14,286,210,288,210,302,14,301
461,288,505,288,505,300,461,300
50,304,286,304,286,320,50,320
14,319,228,322,227,338,14,335
461,322,505,322,505,336,461,336
49,340,145,340,145,356,49,356
13,353,236,356,235,372,13,369
461,357,505,357,505,369,461,369
50,373,157,373,157,389,50,389
14,389,178,392,178,406,14,403
461,392,505,392,505,404,461,404
49,408,194,408,194,424,49,424
12,601,64,601,64,616,12,616
354,601,509,601,509,617,354,617
13,624,93,624,93,638,13,638
372,622,497,624,497,638,371,637
362,734,458,734,458,750,362,750
13,752,204,752,204,766,13,766
