418,6,522,6,522,20,418,20
12,9,166,9,166,22,12,22
412,22,524,22,524,36,412,36
12,25,163,25,163,41,12,41
381,37,522,37,522,52,381,52
10,46,161,44,161,58,10,60
210,50,329,50,329,70,210,70
13,79,155,78,156,93,13,94
292,80,458,80,458,93,292,93
13,102,129,102,129,117,13,117
12,125,52,125,52,138,12,138
136,125,410,125,410,140,136,140
13,144,520,144,520,160,13,160
13,161,98,162,98,177,13,175
13,192,109,193,109,210,13,209
12,210,210,213,210,229,11,226
458,214,502,214,502,226,458,226
48,230,277,230,277,246,48,246
12,246,260,248,259,264,11,261
458,249,502,249,502,261,458,261
47,265,277,261,277,278,48,282
12,281,206,282,206,298,11,297
458,282,501,282,501,296,458,296
48,300,277,300,277,314,48,314
12,317,278,317,278,333,12,333
458,318,502,318,502,330,458,330
48,333,360,333,360,350,48,350
9,597,61,597,61,610,9,610
351,597,507,597,507,612,351,612
12,616,92,620,91,635,11,631
370,620,494,620,494,633,370,633
369,728,449,730,449,745,369,743
12,746,201,748,201,763,11,761
