420,6,524,6,524,20,420,20
13,9,167,9,167,22,13,22
412,22,525,22,525,36,412,36
13,25,165,25,165,41,13,41
381,37,529,37,529,52,381,52
11,46,161,44,161,58,12,60
212,50,330,50,330,70,212,70
14,79,173,77,173,93,14,94
293,78,469,78,469,93,293,93
14,102,129,102,129,118,14,118
219,125,490,123,490,139,220,141
13,125,53,125,53,138,13,138
14,144,509,144,509,160,14,160
14,161,224,161,224,176,14,176
14,191,111,194,110,212,14,209
13,210,212,213,211,229,13,226
460,213,504,213,504,226,460,226
49,230,278,227,278,244,49,247
13,246,261,248,261,264,13,261
460,249,504,249,504,261,460,261
49,265,278,262,278,278,49,282
13,282,312,282,312,298,13,298
460,282,504,282,504,296,460,296
49,300,278,300,278,316,49,316
13,315,190,317,190,333,13,331
460,317,504,317,504,330,460,330
47,334,278,331,278,348,48,351
12,352,360,352,360,366,12,366
460,352,504,352,504,364,460,364
49,368,245,368,245,384,49,384
10,597,62,597,62,610,10,610
353,597,509,597,509,612,353,612
13,616,92,620,91,635,12,631
371,620,495,620,495,633,371,633
366,729,442,727,443,744,366,746
12,746,198,748,198,763,11,761
