417,8,521,8,521,21,417,21
10,10,166,10,166,24,10,24
410,23,522,23,522,37,410,37
10,26,162,26,162,42,10,42
380,38,529,38,529,52,380,52
10,46,159,46,159,61,10,61
209,52,328,52,328,72,209,72
12,80,157,80,157,94,12,94
290,80,468,80,468,94,290,94
12,103,127,103,127,118,12,118
118,125,390,125,390,141,118,141
10,126,50,126,50,138,10,138
12,145,534,145,534,161,12,161
12,160,462,160,462,177,12,177
13,192,109,194,109,212,13,210
10,214,194,214,194,230,10,230
458,214,502,214,502,228,458,228
46,233,147,229,148,244,46,249
10,248,233,249,233,264,10,262
458,249,502,249,502,262,458,262
46,264,152,267,151,283,46,281
10,282,225,284,225,298,10,296
458,284,502,284,502,296,458,296
46,301,148,301,148,316,46,316
10,315,176,319,175,334,10,331
458,318,502,318,502,332,458,332
46,334,152,334,152,350,46,350
10,349,214,352,214,368,10,365
457,353,502,353,502,365,457,365
46,369,152,369,152,385,46,385
9,596,60,598,59,612,8,610
352,597,506,597,506,613,352,613
10,620,90,620,90,634,10,634
369,621,493,621,493,634,369,634
372,730,448,730,448,744,372,744
10,748,197,748,197,762,10,762
