420,9,525,9,525,22,420,22
13,11,169,12,169,25,13,25
413,25,525,25,525,38,413,38
13,28,166,28,166,44,13,44
382,40,528,40,528,54,382,54
13,49,162,47,162,61,13,63
213,53,332,53,332,73,213,73
293,81,461,83,461,98,293,95
14,82,140,82,140,97,14,97
14,105,130,105,130,121,14,121
14,128,217,128,217,142,14,142
14,146,537,146,537,162,14,162
14,162,506,162,506,178,14,178
14,178,414,178,414,194,14,194
16,209,112,211,111,228,15,226
14,229,397,230,397,246,14,245
460,230,502,230,502,244,460,244
49,247,189,249,189,265,49,263
14,265,394,265,394,280,14,280
461,265,505,265,505,278,461,278
38,281,122,281,122,296,38,296
49,298,144,298,144,314,49,314
14,314,229,316,229,332,14,329
461,317,505,317,505,329,461,329
49,333,237,333,237,349,49,349
14,347,273,350,273,366,14,363
461,350,505,350,505,364,461,364
49,366,242,366,242,384,49,384
13,385,361,385,361,401,13,401
461,385,505,385,505,398,461,398
49,402,144,402,144,418,49,418
14,418,248,420,247,434,14,433
461,420,502,420,502,432,461,432
49,435,158,437,158,454,49,452
14,451,178,455,178,470,14,467
461,454,505,454,505,466,461,466
49,470,154,470,154,486,49,486
14,487,197,489,197,505,14,503
461,489,502,489,502,502,461,502
49,505,242,505,242,522,49,522
12,600,64,600,64,613,12,613
354,600,509,600,509,614,354,614
13,622,93,622,93,637,13,637
371,622,497,622,497,636,371,636
351,732,481,729,481,746,352,749
13,748,200,750,199,766,13,764
