420,12,525,12,525,25,420,25
13,14,169,14,169,28,13,28
413,27,526,27,526,41,413,41
14,30,166,30,166,46,14,46
382,42,527,42,527,56,382,56
13,50,162,50,162,65,13,65
213,56,332,56,332,76,213,76
14,84,149,84,149,100,14,100
294,84,341,84,341,98,294,98
387,85,470,85,470,98,387,98
14,107,130,107,130,122,14,122
14,130,52,130,52,142,14,142
14,149,506,150,506,167,14,166
16,185,112,188,111,205,15,202
14,205,280,206,279,222,14,220
461,206,505,206,505,220,461,220
49,225,208,225,208,240,49,240
14,241,192,241,192,257,14,257
461,241,505,241,505,254,461,254
49,258,285,258,285,274,49,274
14,277,220,277,220,292,14,292
461,277,505,277,505,289,461,289
49,292,279,290,280,307,49,309
14,310,366,310,366,326,14,326
461,310,500,310,500,324,461,324
49,328,277,328,277,344,49,344
354,601,509,601,509,617,354,617
12,602,64,602,64,616,12,616
13,621,93,625,93,639,12,635
372,625,497,625,497,638,372,638
365,734,479,734,479,749,365,749
13,751,199,751,199,767,13,767
